Employer_ID,City_ID,Contract_ID,StartDate,EndDate,Contract_Duration,Renewal_Flag,Job_Slots,Total_Contract_Value,Applications,Apply_Start_Clicks,Click_Market_Value,Job_Listings,Month,Year,CMV/TCV,Generated_Profit_Value
4277920,9767,2423796,30-10-2017,30-11-2017,31,1,15,995,215,255,15484.4,25,10,2017,15.56221106,14.56221106
2372987,8585,2074128,29-06-2017,29-07-2017,30,0,50,1495,55,70,1719.3,50,6,2017,1.150033445,0.150033445
1142693,6665,1924740,02-05-2017,02-06-2017,31,0,15,495,45,95,1195.75,20,5,2017,2.415656566,1.415656566
1353893,5165,1942512,09-05-2017,06-06-2017,28,0,15,995,155,175,1197.35,20,5,2017,1.203366834,0.203366834
922427,3882,1380984,19-09-2016,20-10-2016,31,1,15,745,150,185,8889.7,20,9,2016,11.93248322,10.93248322
1411387,4163,2436360,01-11-2017,01-12-2017,30,0,15,995,0,60,2267.15,5,11,2017,2.278542714,1.278542714
1262987,6535,2881524,20-03-2018,20-04-2018,31,0,15,1495,15,20,1087.25,5,3,2018,0.727257525,-0.272742475
1002933,1303,1453824,17-10-2016,17-11-2016,31,1,50,2995,0,540,19473.3,35,10,2016,6.501936561,5.501936561
4092693,1941,1998744,01-06-2017,01-07-2017,30,1,15,1495,115,210,3763.55,20,6,2017,2.517424749,1.517424749
1077040,7409,1964436,18-05-2017,18-06-2017,31,0,15,495,5,10,525.85,5,5,2017,1.062323232,0.062323232
1062800,5927,1964688,18-05-2017,18-06-2017,31,0,15,995,0,140,1309.9,15,5,2017,1.316482412,0.316482412
4843600,5390,2558580,13-12-2017,13-01-2018,31,1,50,2995,275,340,2773.85,55,12,2017,0.926160267,-0.073839733
959840,10026,2128128,19-07-2017,19-08-2017,31,0,15,745,30,60,557.65,10,7,2017,0.74852349,-0.25147651
918640,8893,1159116,08-06-2016,08-07-2016,30,1,15,1245,460,560,15018.85,20,6,2016,12.06333333,11.06333333
1778267,10457,1108020,17-05-2016,05-06-2016,19,0,50,1745,590,1145,11012.6,55,5,2016,6.310945559,5.310945559
1650347,2380,1179168,14-06-2016,14-07-2016,30,1,15,745,160,330,10420.6,15,6,2016,13.98738255,12.98738255
1113360,11026,2027544,13-06-2017,13-07-2017,30,0,15,1495,200,230,5102.95,45,6,2017,3.413344482,2.413344482
413173,2726,1739388,20-02-2017,20-03-2017,28,0,15,995,330,285,12782,25,2,2017,12.84623116,11.84623116
1391493,377,1845024,30-03-2017,30-04-2017,31,1,15,745,70,235,1035.45,15,3,2017,1.389865772,0.389865772
1524453,2560,1559496,02-12-2016,04-12-2016,2,0,15,1495,0,5,290.6,10,12,2016,0.194381271,-0.805618729
